member_casual,hour15min,tot_trips,percentage
casual,0,5794,0.3
casual,0.25,10671,0.56
casual,0.5,9127,0.48
casual,0.75,7896,0.41
casual,1,6882,0.36
casual,1.25,6203,0.32
casual,1.5,5708,0.3
casual,1.75,5359,0.28
casual,2,5575,0.29
casual,2.25,4506,0.24
casual,2.5,3719,0.19
casual,2.75,3089,0.16
casual,3,2828,0.15
casual,3.25,2317,0.12
casual,3.5,2025,0.11
casual,3.75,2024,0.11
casual,4,1976,0.1
casual,4.25,1525,0.08
casual,4.5,1484,0.08
casual,4.75,1946,0.1
casual,5,1748,0.09
casual,5.25,1802,0.09
casual,5.5,2653,0.14
casual,5.75,3985,0.21
casual,6,3816,0.2
casual,6.25,4665,0.24
casual,6.5,6071,0.32
casual,6.75,8643,0.45
casual,7,8870,0.46
casual,7.25,10093,0.53
casual,7.5,11677,0.61
casual,7.75,14405,0.75
casual,8,14920,0.78
casual,8.25,15878,0.83
casual,8.5,16638,0.87
casual,8.75,19077,1
casual,9,17329,0.9
casual,9.25,15873,0.83
casual,9.5,16359,0.85
casual,9.75,18488,0.96
casual,10,18271,0.95
casual,10.25,19104,1
casual,10.5,20561,1.07
casual,10.75,22339,1.17
casual,11,23490,1.23
casual,11.25,24328,1.27
casual,11.5,25814,1.35
casual,11.75,29032,1.52
casual,12,29690,1.55
casual,12.25,30317,1.58
casual,12.5,30782,1.61
casual,12.75,31922,1.67
casual,13,31275,1.63
casual,13.25,31414,1.64
casual,13.5,31239,1.63
casual,13.75,32313,1.69
casual,14,32335,1.69
casual,14.25,32986,1.72
casual,14.5,32888,1.72
casual,14.75,34086,1.78
casual,15,34713,1.81
casual,15.25,36660,1.91
casual,15.5,37070,1.93
casual,15.75,38068,1.99
casual,16,39265,2.05
casual,16.25,41969,2.19
casual,16.5,41153,2.15
casual,16.75,43192,2.25
casual,17,46074,2.4
casual,17.25,47225,2.46
casual,17.5,45815,2.39
casual,17.75,45096,2.35
casual,18,42611,2.22
casual,18.25,42205,2.2
casual,18.5,39363,2.05
casual,18.75,36728,1.92
casual,19,33857,1.77
casual,19.25,32114,1.68
casual,19.5,29018,1.51
casual,19.75,26045,1.36
casual,20,24029,1.25
casual,20.25,22405,1.17
casual,20.5,20725,1.08
casual,20.75,19414,1.01
casual,21,18477,0.96
casual,21.25,18081,0.94
casual,21.5,17964,0.94
casual,21.75,17420,0.91
casual,22,16728,0.87
casual,22.25,16140,0.84
casual,22.5,15106,0.79
casual,22.75,13607,0.71
casual,23,12983,0.68
casual,23.25,12085,0.63
casual,23.5,10936,0.57
casual,23.75,9521,0.5
casual,24,4253,0.22
member,0,5432,0.16
member,0.25,8936,0.26
member,0.5,7634,0.22
member,0.75,6535,0.19
member,1,5936,0.17
member,1.25,5153,0.15
member,1.5,4697,0.13
member,1.75,4254,0.12
member,2,3995,0.11
member,2.25,3299,0.09
member,2.5,2703,0.08
member,2.75,2302,0.07
member,3,2202,0.06
member,3.25,1865,0.05
member,3.5,1816,0.05
member,3.75,1886,0.05
member,4,1719,0.05
member,4.25,1663,0.05
member,4.5,1816,0.05
member,4.75,2506,0.07
member,5,3655,0.1
member,5.25,5173,0.15
member,5.5,7362,0.21
member,5.75,12851,0.37
member,6,13577,0.39
member,6.25,17316,0.5
member,6.5,25983,0.75
member,6.75,32257,0.93
member,7,35251,1.01
member,7.25,39953,1.15
member,7.5,51717,1.48
member,7.75,57677,1.66
member,8,61577,1.77
member,8.25,64336,1.85
member,8.5,63347,1.82
member,8.75,64726,1.86
member,9,51826,1.49
member,9.25,43347,1.24
member,9.5,38415,1.1
member,9.75,38900,1.12
member,10,35628,1.02
member,10.25,34402,0.99
member,10.5,34214,0.98
member,10.75,36693,1.05
member,11,36819,1.06
member,11.25,37711,1.08
member,11.5,40341,1.16
member,11.75,45762,1.31
member,12,46985,1.35
member,12.25,47125,1.35
member,12.5,46607,1.34
member,12.75,46469,1.33
member,13,46635,1.34
member,13.25,46265,1.33
member,13.5,44282,1.27
member,13.75,45708,1.31
member,14,44629,1.28
member,14.25,45467,1.3
member,14.5,45023,1.29
member,14.75,48150,1.38
member,15,50063,1.44
member,15.25,55834,1.6
member,15.5,58367,1.68
member,15.75,61263,1.76
member,16,68925,1.98
member,16.25,78752,2.26
member,16.5,80132,2.3
member,16.75,87459,2.51
member,17,97624,2.8
member,17.25,101091,2.9
member,17.5,92492,2.65
member,17.75,88539,2.54
member,18,81615,2.34
member,18.25,78855,2.26
member,18.5,72186,2.07
member,18.75,67045,1.92
member,19,61114,1.75
member,19.25,55820,1.6
member,19.5,49380,1.42
member,19.75,44167,1.27
member,20,40666,1.17
member,20.25,36895,1.06
member,20.5,34190,0.98
member,20.75,31810,0.91
member,21,30525,0.88
member,21.25,28407,0.82
member,21.5,26949,0.77
member,21.75,25098,0.72
member,22,24024,0.69
member,22.25,21849,0.63
member,22.5,19433,0.56
member,22.75,17049,0.49
member,23,15646,0.45
member,23.25,13625,0.39
member,23.5,11981,0.34
member,23.75,10687,0.31
member,24,4322,0.12
